SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Atkins Ltd,,KT18 5BW,UK,1,London and Quadrant Housing Trust,,London and Quadrant Housing Trust — Mechanical and Electrical Consultants (London) 2020-2024,20200103,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250 000 people in more than 95 000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of mechanical and electrical consultants for London and Quadrant’s self delivered new build projects to comply with the Public Contracts regulations 2015. The objective of this tender process is to establish a framework agreement with the tenderers and London and Quadrant Housing Trust. The dates and contract value are estimates and could be subject to change. This is tender is for service providers only.",http://ted.europa.eu/udl?uri=TED:NOTICE:002402-2020:TEXT:EN:HTML,40000000,GBP
Northern Ireland Chest Heart Stroke,,,UK,2,Procurement and Logistics Service,BT12 6HU,1759459 Workplace Health and Well-being Support Service,20200103,Workplace health and well-being support service.,http://ted.europa.eu/udl?uri=TED:NOTICE:002408-2020:TEXT:EN:HTML,1514250.00,GBP
Developing Healthy Communities DHC Ltd,,,UK,2,Procurement and Logistics Service,BT12 6HU,1759459 Workplace Health and Well-being Support Service,20200103,Workplace health and well-being support service.,http://ted.europa.eu/udl?uri=TED:NOTICE:002408-2020:TEXT:EN:HTML,1514250.00,GBP
Arco Ltd,,HU1 2SH,UK,1,NI Water and its subsidiaries,BT14 6TE,C988 – Supply and Delivery of Personal Protective Equipment (PPE) and Workwear,20200103,NI Water wish to appoint a contractor(s) to supply and deliver personal protective equipment (PPE) and workwear. This contract will be split into 2 lots:,http://ted.europa.eu/udl?uri=TED:NOTICE:002620-2020:TEXT:EN:HTML,1500000.00,GBP
Adani Ltd,05809452,SW1Y 5JG,UK,1,Ministry of Justice,LS1 4AP,Supply and Maintenance of Security Body Scanners,20200106,Framework for the supply and maintenance of security body scanners for 4 years purchase and 14 years maintenance for:,http://ted.europa.eu/udl?uri=TED:NOTICE:003144-2020:TEXT:EN:HTML,16930350.00,GBP
Plymouth Citybus Ltd,,,UK,2,Cornwall Council,TR1 3AY,"Bus Services to include Local Buses, School Buses and Park and Ride",20200106,The services to be included within this tender are:,http://ted.europa.eu/udl?uri=TED:NOTICE:003430-2020:TEXT:EN:HTML,7608000,GBP
First Southwest Ltd,,,UK,2,Cornwall Council,TR1 3AY,"Bus Services to include Local Buses, School Buses and Park and Ride",20200106,The services to be included within this tender are:,http://ted.europa.eu/udl?uri=TED:NOTICE:003430-2020:TEXT:EN:HTML,7608000,GBP
Circle Health,,,UK,1,NHS North Hampshire Clinical Commissioning Group,RG248GU,MSK for North Hants CCG — OJEU Process,20200106,This a notice announcing the official award notification for North Hampshire Clinical Commissioning Group for Integrated MSK Services to commence 1.4.2020. A prior information notice was previously published inviting potential Bidders to attend the market engagement event which took place on 4.4.2019 and subsequent OJEU Notice placed 10.5.2019 as a competitive procedure with negotiation.,http://ted.europa.eu/udl?uri=TED:NOTICE:003432-2020:TEXT:EN:HTML,16328175,GBP
BDO LLP,OC305127,W1U 7EU,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
Deloitte LLP,OC 303675,EC4A 3BZ,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
Grant Thornton UK LLP,OC307742,EC2A 1AG,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
KPMG,OC301540,E14 5GL,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
Mazars LLP,OC308299,E1W 1DD,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
360 Assurance,,LE4 8BL,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
CW Audit Services,,CV6 6NY,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
MIAA,,L3 4BL,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
RSM Risk Assurance Services LLP,6677561,TF3 3DE,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
TIAA Ltd,4546319,PO14 1AH,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
West Midlands Ambulance Service,,DY5 1LX,UK,11,East of England NHS Collaborative Hub,CB21 5XB,Statutory Audit and Multi-Specialty Audit Services and Advisory Consultancy Services,20200106,"EOECPH is seeking experienced, proven, innovative and agile providers to deliver multi-speciality audit services relevant to publicly funded bodies including but not limited to NHS.",http://ted.europa.eu/udl?uri=TED:NOTICE:003448-2020:TEXT:EN:HTML,10000000,GBP
Humankind Charity,,DH6 5PF,UK,1,Staffordshire County Council,ST16 2DH,Services for People with Drug and Alcohol Problems,20200106,"The agreement will represent all services for people with drug/alcohol problems commissioned by Staffordshire County Council, including:",http://ted.europa.eu/udl?uri=TED:NOTICE:003588-2020:TEXT:EN:HTML,55000000.00,EUR
Suffolk Family Carers,,IP6 0AJ,UK,1,Suffolk County Council,IP1 2BX,Suffolk Young Carers Service,20200106,"Suffolk County Council are seeking to commission a provider to deliver a service that will effectively engage and identify with young carers, complete statutory assessments on young carers and then provide appropriate information, advice and guidance to ensure their needs are properly supported. This will include the provider keeping an up to date register of all young carers who have accessed the service and the support they require to maintain their caring responsibilities.",http://ted.europa.eu/udl?uri=TED:NOTICE:003594-2020:TEXT:EN:HTML,1300000,GBP
SMRS,3365804,M4 6BD,UK,1,University of Warwick,CV4 7EZ,Advertising and Media Consultation and Buying Services,20200106,"The University is seeking to appoint up to 3 agencies to provide comprehensive advertising and media buying services (excluding staff recruitment) that reflect the University’s corporate branding, vision and values and elevates the University’s position in the UK and global HE sectors.",http://ted.europa.eu/udl?uri=TED:NOTICE:003608-2020:TEXT:EN:HTML,4000000,GBP
CT Travel Group Ltd,,TN23XF,UK,1,Welsh Government,CF37 5YR,Trade Mission Project Management,20200106,"Welsh Government is committed to working with companies to help them to grow their exports. This includes providing access to key export information, tailored support for market entry, support to visit overseas markets and attendance at international trade fairs overseas.",http://ted.europa.eu/udl?uri=TED:NOTICE:003688-2020:TEXT:EN:HTML,8000000,GBP
Vinshire Plumbing and Heating Ltd,,DE24 9HL,UK,1,Dudley Metropolitan Borough Council,,Gas Central Heating and Boiler Replacement Contract 2020/2025,20200107,"Dudley Metropolitan Borough Council is seeking tenders from experienced contractors to provide gas central heating and boiler replacement for contract period 2020-2025 to service almost 22 000 Council properties. The works will include carrying out gas central heating repairs and boiler replacement to void and occupied tenanted domestic dwellings. This will also include carrying out responsive day to day, planned, reactive and emergency repairs as required where necessary replacement of appliances and systems. Operate out of hours emergency including call out repairs service. The duration of the contract will be 5 years with an initial term 3 years with option to extend by aggregate 24 months subject to satisfactory performance during the initial term. The project will comprise planned works programme which includes typically replacement of existing type boilers, controls and radiators in general needs properties, full dwelling replacement of existing central heating system.",http://ted.europa.eu/udl?uri=TED:NOTICE:004044-2020:TEXT:EN:HTML,25000000,GBP
J.G. Hale Construction Ltd,,SA11 1NJ,UK,1,Powys County Council,LD1 5LG,"Appointment of a Principal Contractor for Heol Y Ffynnon, Brecon, Powys, Mid Wales",20200107,"Powys County Council sought to appoint the principal contractor for the development of 32 unit scheme comprising of: No 1 bedroom flats, No 2 bedroom houses, No 3 bedroom houses and No 4 bedroom houses on a site in Brecon, Powys, Mid Wales.",http://ted.europa.eu/udl?uri=TED:NOTICE:004045-2020:TEXT:EN:HTML,5047419.38,GBP
Stamford Products Ltd,,SK15 1QQ,UK,1,Procurement and Logistics Service,BT61 7PR,Modular Storage System for Materials Management,20200107,Modular storage system for materials management.,http://ted.europa.eu/udl?uri=TED:NOTICE:004445-2020:TEXT:EN:HTML,2329614.64,GBP
City Electrical Factors Ltd,,CV8 2SU,UK,6,North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust),S4 7UQ,Estates Consumable Products,20200107,"This procurement will establish a framework covering the purchase of estates consumable products for example, tools, electrical items, building products, plumbing, timber and joinery, paints and solvents, ironmongery, mechanical and industrial consumables, plant hire and signage (NHS). Each product area will be covered by an individual lot, or sub lots. Member organisations will access the NOECPC electronic catalogue via the e-catalogue system, either by excel export or by integration into the member organisations cataloguing system. Member organisations will be able to order products, utilising either an electronic catalogue, or by running a further competition. Please refer to the relevant lot descriptions for further details.",http://ted.europa.eu/udl?uri=TED:NOTICE:004447-2020:TEXT:EN:HTML,50000000,GBP
Grafton Merchanting GB Ltd,,NG16 2TA,UK,6,North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust),S4 7UQ,Estates Consumable Products,20200107,"This procurement will establish a framework covering the purchase of estates consumable products for example, tools, electrical items, building products, plumbing, timber and joinery, paints and solvents, ironmongery, mechanical and industrial consumables, plant hire and signage (NHS). Each product area will be covered by an individual lot, or sub lots. Member organisations will access the NOECPC electronic catalogue via the e-catalogue system, either by excel export or by integration into the member organisations cataloguing system. Member organisations will be able to order products, utilising either an electronic catalogue, or by running a further competition. Please refer to the relevant lot descriptions for further details.",http://ted.europa.eu/udl?uri=TED:NOTICE:004447-2020:TEXT:EN:HTML,50000000,GBP
Jewson Limited,,CV3 2TT,UK,6,North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust),S4 7UQ,Estates Consumable Products,20200107,"This procurement will establish a framework covering the purchase of estates consumable products for example, tools, electrical items, building products, plumbing, timber and joinery, paints and solvents, ironmongery, mechanical and industrial consumables, plant hire and signage (NHS). Each product area will be covered by an individual lot, or sub lots. Member organisations will access the NOECPC electronic catalogue via the e-catalogue system, either by excel export or by integration into the member organisations cataloguing system. Member organisations will be able to order products, utilising either an electronic catalogue, or by running a further competition. Please refer to the relevant lot descriptions for further details.",http://ted.europa.eu/udl?uri=TED:NOTICE:004447-2020:TEXT:EN:HTML,50000000,GBP
,,,,6,North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust),S4 7UQ,Estates Consumable Products,20200107,"This procurement will establish a framework covering the purchase of estates consumable products for example, tools, electrical items, building products, plumbing, timber and joinery, paints and solvents, ironmongery, mechanical and industrial consumables, plant hire and signage (NHS). Each product area will be covered by an individual lot, or sub lots. Member organisations will access the NOECPC electronic catalogue via the e-catalogue system, either by excel export or by integration into the member organisations cataloguing system. Member organisations will be able to order products, utilising either an electronic catalogue, or by running a further competition. Please refer to the relevant lot descriptions for further details.",http://ted.europa.eu/udl?uri=TED:NOTICE:004447-2020:TEXT:EN:HTML,50000000,GBP
Crown Paints Ltd,,BB3 0BG,UK,6,North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust),S4 7UQ,Estates Consumable Products,20200107,"This procurement will establish a framework covering the purchase of estates consumable products for example, tools, electrical items, building products, plumbing, timber and joinery, paints and solvents, ironmongery, mechanical and industrial consumables, plant hire and signage (NHS). Each product area will be covered by an individual lot, or sub lots. Member organisations will access the NOECPC electronic catalogue via the e-catalogue system, either by excel export or by integration into the member organisations cataloguing system. Member organisations will be able to order products, utilising either an electronic catalogue, or by running a further competition. Please refer to the relevant lot descriptions for further details.",http://ted.europa.eu/udl?uri=TED:NOTICE:004447-2020:TEXT:EN:HTML,50000000,GBP
RS Components Ltd,,,UK,6,North of England Commercial Procurement Collaborative (NOE CPC) (hosted by and acting through Leeds and York Partnership NHS Foundation Trust),S4 7UQ,Estates Consumable Products,20200107,"This procurement will establish a framework covering the purchase of estates consumable products for example, tools, electrical items, building products, plumbing, timber and joinery, paints and solvents, ironmongery, mechanical and industrial consumables, plant hire and signage (NHS). Each product area will be covered by an individual lot, or sub lots. Member organisations will access the NOECPC electronic catalogue via the e-catalogue system, either by excel export or by integration into the member organisations cataloguing system. Member organisations will be able to order products, utilising either an electronic catalogue, or by running a further competition. Please refer to the relevant lot descriptions for further details.",http://ted.europa.eu/udl?uri=TED:NOTICE:004447-2020:TEXT:EN:HTML,50000000,GBP
Accord-UK Ltd,,,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Aristo Pharma Ltd,,CB6 3NW,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Aspen Pharma Ireland Ltd,,SL6 1BU,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Aspire Pharma Ltd,,GU32 3HA,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Aurobindo (Milpharm Ltd),,HA4 6QD,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Bayer Plc,,RG2 6AD,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Bristol Laboratories Ltd,,HP4 1EG,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Consilient Health Ltd,,TW9 2QE,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Crescent Pharma Ltd,,RG25 3ED,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Dexcel Pharma Ltd,,NN11 8PB,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Dr Falk Pharma UK Ltd,,SL8 5AS,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Dr Reddy's Laboratories Ltd,,HU17 0LD,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Drugsrus Ltd,,HA1 1XD,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Ennogen HealthCare,,DA1 5BS,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Ferring Pharmaceuticals Ltd,,UB7 7PS,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Flynn Pharma Ltd,,SG1 3EE,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Focus Pharmaceuticals Ltd,,EC4N 7BL,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Glaxo Smithkline,,UB11 1BT,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Glenmark Pharmaceuticals,,WD18 8YA,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
HFA Healthcare Products Ltd,,,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Janssen Ltd,,HP14 4EG,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Kent Pharmaceuticals,,TN24 0GR,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Laboratories Almirall S.A,,UB11 1TD,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
